"District","Division","Area","Club Number","Club Name","Club Status","CSP","Mem. Base","Active Members","Net Growth","Goals Met","Level 1s","Level 2s","Add. Level 2s","Level 3s","Level 4s, Path Completions, or DTM Awards","Add. Level 4s, Path Completions, or DTM award","New Members","Add. New Members","Off. Trained Round 1","Off. Trained Round 2","Mem. dues on time Oct","Mem. dues on time Apr","Off. List On Time","Club Distinguished Status"
"82","A","01","00005324","The Colombo Toastmasters Club","Active","Y","69","72","3","10","10","2","3","2","1","1","4","14","7","7","1","1","1","M"
"82","A","01","03414509","Lions Toastmasters Club","Active","Y","12","23","11","10","5","2","2","2","1","2","4","10","7","7","1","1","1","P"
"82","A","01","04032159","Commercial Bank Toastmasters Club","Active","Y","22","31","9","10","4","2","3","2","1","1","4","13","7","7","1","1","1","M"
"82","A","01","04703328","CEB Toastmasters Club","Active","Y","20","20","0","6","1","2","0","0","1","0","4","6","7","7","1","1","1","D"
"82","A","01","28678785","Prime Group Toastmasters","Active","Y","24","11","-13","4","1","0","0","0","0","0","4","7","7","7","1","0","1",""
"82","A","02","03990626","Matara Toastmasters Club","Active","Y","20","11","-9","9","6","2","4","2","1","0","4","7","5","7","1","1","1",""
"82","A","02","07156385","MillenniumIT ESP Toastmasters","Active","Y","5","8","3","5","4","2","0","1","1","0","4","1","7","6","1","1","0","D"
"82","A","02","07986971","Baurs Toastmasters Club (BTC)","Active","Y","24","31","7","10","6","2","3","3","1","4","4","8","7","7","1","1","1","M"
"82","A","02","28675642","People's Bank Toastmasters Club","Active","Y","12","13","1","2","1","1","0","0","0","0","2","0","7","6","1","1","1",""
"82","A","02","28677378","GTN Toastmasters Club","Active","Y","22","10","-12","5","3","1","0","2","1","1","1","0","5","4","1","0","1",""
"82","A","02","28679044","Dynamic Avenue Toastmasters Club","Active","Y","20","27","7","10","5","2","2","5","1","4","4","16","7","4","0","1","1","M"
"82","A","03","01195211","DFCC Toastmasters","Active","Y","20","17","-3","4","1","0","0","0","0","0","4","8","7","4","1","1","1",""
"82","A","03","01223622","Nations Toastmasters","Active","Y","21","21","0","9","4","2","1","2","1","1","4","5","6","7","1","1","1","P"
"82","A","03","01391757","Dialog Toastmasters Club","Active","Y","26","26","0","10","9","2","4","2","1","2","4","7","7","5","1","1","1","M"
"82","A","03","02804733","Galle Toastmasters Club","Active","Y","20","19","-1","5","2","1","0","1","1","1","4","12","6","1","1","1","1",""
"82","A","03","07928099","PickMe Toastmasters Club","Active","Y","8","9","1","1","0","0","0","0","0","0","3","0","6","0","1","1","1",""
"82","A","04","01880525","Sabaragamuwa Toastmasters Club","Active","Y","13","13","0","4","0","1","0","0","0","0","4","4","7","6","1","1","1",""
"82","A","04","01888115","Bank of Ceylon Toastmasters Club","Active","Y","20","26","6","5","4","0","0","0","0","0","4","4","7","5","1","1","1","D"
"82","A","04","04839397","CSE Toastmasters Club","Active","Y","20","26","6","10","7","2","2","2","1","1","4","10","7","7","1","1","1","M"
"82","A","04","06488853","Cargills Bank Toastmasters","Active","Y","8","10","2","3","0","0","0","0","0","0","4","0","5","4","1","1","1",""
"82","A","04","28676662","BOI Toastmasters Club","Active","Y","20","22","2","9","4","2","1","2","1","1","4","9","7","4","1","1","1","P"
"82","B","01","00918669","Bcis Toastmasters Club","Active","Y","27","26","-1","10","4","2","2","2","1","1","4","8","7","5","1","1","1","M"
"82","B","01","07225230","Yarl Paady Toastmasters Club","Active","Y","16","9","-7","2","0","1","0","0","0","0","2","0","4","4","1","1","1",""
